,Message,Retweet Count,Created At,Username,Geo,Coord,Metadata
54,"Feliz cumple genio 🎂
Tu voz y tu legado serán eternos!!!
🎶🎙🤴🎙🎶
#FreddyLeyenda #FreddyMercury #Queen #Rock #Rocangoleando https://t.co/eoU6uGYWij",2,2019-09-05 16:37:04,rocangoleando,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
55,"@Diamantelectric 
20 de Nov, 2019, • 9:00pm

The Catalyst de Santa Cruz, CA

boletos: https://t.co/hrAUw8WLKx
•
•
•
•
•
•
•
•
•
•
#rock #bands #music #frecuenciarock #concertjunkie #concert #tickets 
#diamanteelectrico #santacruz #thingstodo #thecatylst #tourbuitres https://t.co/3FXNzkZHLR",0,2019-09-05 16:36:44,Frecuencia Rock,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
56,"Se cumplió un año más de la partida.
El conmovedor mensaje de la familia de #GustavoCerati, a 5 años de su muerte
 https://t.co/HpmFW4aMMD   #rock https://t.co/T8RBblhmnA",0,2019-09-05 16:36:21,Guioteca,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
57,De nuevo #envivo junto a desertorchile en @MiBardeRock este #sábado 14 de septiembre a las 21.30 horas!! Nos vemos en Santa Isabel 0350 #Providencia. #Rock y #ElectroPop por sólo $ 3000. ¡¡Nos… https://t.co/yntFe26p3f,0,2019-09-05 16:31:01,ⓈⓄⓊⓁ ⓇⓄⒷⓄⓉⓈ,"{'type': 'Point', 'coordinates': [-33.44646074, -70.62639985]}","{'type': 'Point', 'coordinates': [-70.62639985, -33.44646074]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
58,Compartimos el último programa en octubre volvemos a la carga ⁦@porsunombreweb⁩ #Radio #rock #metal   https://t.co/Ib2bOg7Ebi,1,2019-09-05 16:29:23,porsunombreradio,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
59,"Y más amigos disfrutando de Rockstar Benidorm, de todas partes del mundo, de todas las edades. Rocking your Life since 2007!! #benidorm #rock #friends #goodtime #celebration # https://t.co/kNh6xpYzGK",0,2019-09-05 16:24:21,RockStar Benidorm,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
60,"#BIN A #BrianEno yo lo llamo el #ReyMidas de la producción, en algún momento lo analizaré, desde esta óptica. Por su mano pasó la crema y nata del #Rock, desde #Bowie y #Ultravox, hasta #TheTalkingHeads. Más que un músico, Eno es un ""científico de la música"" y así se inició...",1,2019-09-05 16:24:19,ElObservadorBinario,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
61,Con @virginiamaestro en la presentación de #riofest 2019. ¡No te lo pierdas el próximo 27 y 28 de septiembre!  #RioFest #Rockola con #FranHiniesta #Sevilla #Pop #Rock #RadioGuadalquivir #radio https://t.co/vRfwy0DIAY,0,2019-09-05 16:20:43,Fran Hiniesta,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
62,Con @virginiamaestro en la presentación de #riofest 2019. ¡No te lo pierdas el próximo 27 y 28 de septiembre!  #RioFest #Rockola con #FranHiniesta #Sevilla #Pop #Rock #RadioGuadalquivir #radio https://t.co/aqHYxn1Ty1,0,2019-09-05 16:20:15,Rockola,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
63,"ESTE VIERNES Tributo a NIRVANA 🎸con anorexiaisanofficial &amp; deusexband🔥 y luego las mezclas de nuestro Dj @ric_albornoz 🎧 en @elteatrobar 
.
.
.
#viernes #rock #venezuelarock #rockvenezuela #talentovenezolano… https://t.co/OoBaRahLVt",0,2019-09-05 16:18:30,Privilege Discplay,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
64,"Extrañando rockearla! 🤟
.
Foto de presentación solista en Espacio Colette 🎶
.
Producción @marianrmanager 💪
Ph.: ariel.borla 📸

#JuanPeret #rock #singer #guitar #music https://t.co/GIQfJa4zkt",0,2019-09-05 16:16:58,Juan Peret,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
